NONE	Orthogroup	Aedaeg	Aedalb	Anofun	Anoste	Culpip	Culqui
NONE	OG0000277	4	2	4	4	3	3
NONE	OG0000278	5	9	0	1	2	3
NONE	OG0000279	1	8	3	1	3	4
NONE	OG0000280	5	4	1	1	4	5
NONE	OG0000281	5	3	0	0	4	8
NONE	OG0000282	6	6	2	2	2	2
NONE	OG0000283	3	4	0	0	9	4
NONE	OG0000284	0	1	1	1	12	5
NONE	OG0000285	0	0	6	10	3	1
NONE	OG0000286	0	0	0	0	9	11
NONE	OG0000287	0	0	0	0	12	8
NONE	OG0000288	5	14	0	0	0	0
NONE	OG0000289	1	1	10	7	0	0
NONE	OG0000290	5	6	2	2	2	2
NONE	OG0000291	3	3	2	2	5	4
NONE	OG0000292	7	7	0	1	1	3
NONE	OG0000293	6	6	0	1	4	2
NONE	OG0000294	2	4	2	2	5	4
NONE	OG0000295	1	1	1	1	4	11
NONE	OG0000296	1	1	1	1	9	6
NONE	OG0000297	8	7	0	0	2	2
NONE	OG0000298	2	8	0	0	4	5
NONE	OG0000299	5	4	0	0	5	5
NONE	OG0000300	1	2	1	1	6	8
NONE	OG0000301	1	1	3	1	7	6
NONE	OG0000302	4	5	0	0	5	5
NONE	OG0000303	7	8	1	1	1	1
NONE	OG0000304	1	2	1	1	3	11
NONE	OG0000305	1	7	8	1	2	0
NONE	OG0000306	1	3	1	1	10	3
NONE	OG0000307	4	4	2	2	4	3
NONE	OG0000308	2	3	1	1	5	7
NONE	OG0000309	2	2	1	1	6	7
NONE	OG0000310	0	19	0	0	0	0
NONE	OG0000311	0	18	0	0	1	0
NONE	OG0000312	0	19	0	0	0	0
NONE	OG0000313	0	19	0	0	0	0
NONE	OG0000314	0	7	0	0	11	1
NONE	OG0000315	0	19	0	0	0	0
NONE	OG0000316	0	7	0	0	6	6
NONE	OG0000317	0	0	0	1	10	8
NONE	OG0000318	0	0	0	0	12	7
NONE	OG0000319	1	1	1	1	7	7
NONE	OG0000320	1	5	3	6	2	1
NONE	OG0000321	7	6	0	1	2	2
NONE	OG0000322	2	2	2	2	5	5
NONE	OG0000323	3	3	2	2	4	4
NONE	OG0000324	1	3	0	2	8	4
NONE	OG0000325	3	2	1	2	7	3
NONE	OG0000326	6	6	1	1	2	2
NONE	OG0000327	3	3	1	1	5	5
NONE	OG0000328	5	6	0	0	4	3
NONE	OG0000329	3	5	1	2	5	2
NONE	OG0000330	3	5	1	1	3	5
NONE	OG0000331	3	5	0	0	6	4
NONE	OG0000332	3	6	0	0	4	5
NONE	OG0000333	3	9	2	1	2	1
NONE	OG0000334	5	7	0	0	2	4
NONE	OG0000335	4	4	2	2	3	3
NONE	OG0000336	1	4	1	1	8	3
NONE	OG0000337	13	1	1	1	1	1
NONE	OG0000338	3	4	1	1	4	5
NONE	OG0000339	1	15	0	0	2	0
NONE	OG0000340	6	12	0	0	0	0
NONE	OG0000341	1	1	1	13	1	1
NONE	OG0000342	4	4	0	0	5	5
NONE	OG0000343	4	3	1	1	4	5
NONE	OG0000344	2	4	1	1	5	5
NONE	OG0000345	5	5	1	1	2	4
NONE	OG0000346	1	1	1	1	6	8
NONE	OG0000347	0	15	0	0	1	2
NONE	OG0000348	0	3	0	0	11	4
NONE	OG0000349	0	17	0	0	1	0
NONE	OG0000350	0	17	1	0	0	0
NONE	OG0000351	0	18	0	0	0	0
NONE	OG0000352	0	5	0	0	4	9
NONE	OG0000353	0	17	0	0	1	0
NONE	OG0000354	0	1	17	0	0	0
NONE	OG0000355	0	0	3	15	0	0
NONE	OG0000356	0	0	0	0	18	0
NONE	OG0000357	0	0	0	0	9	9
NONE	OG0000358	3	3	2	1	4	4
NONE	OG0000359	0	14	0	1	2	0
NONE	OG0000360	3	3	2	2	3	4
NONE	OG0000361	4	3	1	1	4	4
NONE	OG0000362	3	5	2	1	3	3
NONE	OG0000363	2	3	1	3	3	5
NONE	OG0000364	2	1	4	2	5	3
NONE	OG0000365	2	5	2	1	5	2
NONE	OG0000366	2	2	2	2	4	5
NONE	OG0000367	6	3	2	1	3	2
NONE	OG0000368	3	5	3	0	3	3
NONE	OG0000369	6	8	0	1	1	1
NONE	OG0000370	1	9	0	0	2	5
NONE	OG0000371	4	12	0	0	1	0
NONE	OG0000372	4	5	1	1	3	3
NONE	OG0000373	5	6	1	1	2	2
NONE	OG0000374	6	7	1	0	2	1
NONE	OG0000375	6	8	0	0	2	1
NONE	OG0000376	2	2	3	2	4	4
NONE	OG0000377	4	9	0	0	3	1
NONE	OG0000378	3	4	1	1	3	5
NONE	OG0000379	4	7	0	0	3	3
NONE	OG0000380	2	2	1	1	5	6
NONE	OG0000381	1	2	1	1	6	6
NONE	OG0000382	6	2	1	1	3	4
NONE	OG0000383	6	5	1	3	1	1
NONE	OG0000384	2	1	4	5	2	3
NONE	OG0000385	0	16	0	0	0	1
NONE	OG0000386	0	10	0	0	5	2
NONE	OG0000387	0	17	0	0	0	0
NONE	OG0000388	0	7	0	0	6	4
NONE	OG0000389	0	9	0	1	0	7
NONE	OG0000390	0	9	2	0	4	1
NONE	OG0000391	2	2	1	1	5	5
NONE	OG0000392	2	3	2	1	5	3
NONE	OG0000393	3	3	1	1	4	4
NONE	OG0000394	3	2	3	3	3	2
NONE	OG0000395	2	2	3	4	3	2
NONE	OG0000396	3	3	1	2	4	3
NONE	OG0000397	3	5	1	1	3	3
NONE	OG0000398	1	1	4	7	2	1
NONE	OG0000399	3	3	1	1	4	4
NONE	OG0000400	4	6	1	1	2	2
NONE	OG0000401	6	7	0	0	2	1
NONE	OG0000402	8	4	0	0	3	1
NONE	OG0000403	3	3	2	5	3	0
NONE	OG0000404	5	4	0	1	3	3
NONE	OG0000405	1	0	1	1	10	3
NONE	OG0000406	2	2	1	1	3	7
NONE	OG0000407	2	1	0	0	8	5
NONE	OG0000408	2	5	0	0	5	4
NONE	OG0000409	1	2	0	1	6	6
NONE	OG0000410	1	13	0	0	2	0
NONE	OG0000411	3	3	0	0	5	5
NONE	OG0000412	3	3	4	3	1	2
NONE	OG0000413	4	12	0	0	0	0
NONE	OG0000414	3	5	0	0	4	4
NONE	OG0000415	0	16	0	0	0	0
NONE	OG0000416	0	16	0	0	0	0
NONE	OG0000417	0	11	0	0	3	2
NONE	OG0000418	0	15	0	0	1	0
NONE	OG0000419	0	13	0	0	1	2
NONE	OG0000420	0	13	0	0	1	2
NONE	OG0000421	0	9	0	0	2	5
NONE	OG0000422	0	16	0	0	0	0
NONE	OG0000423	0	0	0	0	13	3
NONE	OG0000424	0	0	0	0	7	9
NONE	OG0000425	1	3	1	4	1	5
NONE	OG0000426	0	7	1	5	0	2
NONE	OG0000427	1	1	3	3	3	4
NONE	OG0000428	0	13	1	0	0	1
NONE	OG0000429	0	0	1	1	8	5
NONE	OG0000430	4	3	1	1	3	3
NONE	OG0000431	1	2	7	2	1	2
NONE	OG0000432	3	6	1	1	2	2
NONE	OG0000433	3	2	1	0	5	4
NONE	OG0000434	2	3	3	3	2	2
NONE	OG0000435	3	3	1	2	3	3
